"subjectID" "sire" "dam" "sex" "generation" "phenotype" "genetic_origin" "batch"
"1" 1 0 0 "M" 0 0.13502 0 1
"2" 2 0 0 "M" 0 -1.436285 0 1
"3" 3 0 0 "M" 0 -0.781959 0 1
"4" 4 0 0 "M" 0 -1.033138 0 1
"5" 5 0 0 "M" 0 -0.031558 0 1
"6" 6 0 0 "M" 0 -1.984145 0 1
"7" 7 0 0 "M" 0 -0.496456 0 1
"8" 8 0 0 "M" 0 1.052898 0 1
"9" 9 0 0 "M" 0 0.937655 0 1
"10" 10 0 0 "M" 0 -0.340415 0 1
"11" 11 0 0 "M" 0 0.813305 0 1
"12" 12 0 0 "M" 0 0.63394 0 1
"13" 13 0 0 "M" 0 -1.939632 0 1
"14" 14 0 0 "M" 0 -2.047773 0 1
"15" 15 0 0 "M" 0 -0.267227 0 1
"16" 16 0 0 "M" 0 1.260527 0 1
"17" 17 0 0 "M" 0 0.995547 0 1
"18" 18 0 0 "M" 0 1.148229 0 1
"19" 19 0 0 "M" 0 0.82673 0 1
"20" 20 0 0 "M" 0 -1.236286 0 1
"21" 21 0 0 "F" 0 -0.628436 0 1
"22" 22 0 0 "F" 0 -0.676664 0 1
"23" 23 0 0 "F" 0 -0.774006 0 1
"24" 24 0 0 "F" 0 -0.79205 0 1
"25" 25 0 0 "F" 0 0.047717 0 1
"26" 26 0 0 "F" 0 0.36819 0 1
"27" 27 0 0 "F" 0 -0.667074 0 1
"28" 28 0 0 "F" 0 0.294828 0 1
"29" 29 0 0 "F" 0 -0.554074 0 1
"30" 30 0 0 "F" 0 0.993544 0 1
"31" 31 0 0 "F" 0 -0.927458 0 1
"32" 32 0 0 "F" 0 1.020744 0 1
"33" 33 0 0 "F" 0 -1.651452 0 1
"34" 34 0 0 "F" 0 -1.296084 0 1
"35" 35 0 0 "F" 0 -0.494604 0 1
"36" 36 0 0 "F" 0 -0.379065 0 1
"37" 37 0 0 "F" 0 0.053168 0 1
"38" 38 0 0 "F" 0 -0.759089 0 1
"39" 39 0 0 "F" 0 0.971255 0 1
"40" 40 0 0 "F" 0 0.358656 0 1
"41" 41 0 0 "F" 0 -1.154593 0 1
"42" 42 0 0 "F" 0 1.925098 0 1
"43" 43 0 0 "F" 0 1.047636 0 1
"44" 44 0 0 "F" 0 1.703088 0 1
"45" 45 0 0 "F" 0 0.61235 0 1
"46" 46 0 0 "F" 0 -0.34342 0 1
"47" 47 0 0 "F" 0 1.652296 0 1
